Heure de début,Heure de fin,Calories (kcal),Distance (m),Fréquence cardiaque moyenne (bpm),Fréquence cardiaque maximale (bpm),Fréquence cardiaque minimale (bpm),Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)"
00:00:00.000-04:00,00:15:00.000-04:00,16.921875,,,,,,,,,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,16.921875,,,,,,,,,,,,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,16.921874589062128,,,,,,,,,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,16.921874256666523,,,,,,,,,,,,9,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,16.921874256666523,,,,,,,,,,,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,16.921874818977326,,,,,37.34156087,-120.48677173,37.34711516,-120.48604383,,,,3,,,,384495,
01:30:00.000-04:00,01:45:00.000-04:00,16.921875114555515,,,,,37.34720221,-120.48606047,37.34754873,-120.48602585,,,,,,,,,
01:45:00.000-04:00,02:00:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
02:00:00.000-04:00,02:15:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
02:15:00.000-04:00,02:30:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
02:30:00.000-04:00,02:45:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
02:45:00.000-04:00,03:00:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
03:00:00.000-04:00,03:15:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
03:15:00.000-04:00,03:30:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
03:30:00.000-04:00,03:45:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
03:45:00.000-04:00,04:00:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
04:00:00.000-04:00,04:15:00.000-04:00,16.92187329947271,,,,,,,,,,,,,,,,,
