Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+02:00,00:15:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,4,16.921875,98.36220049263618,,,,,,,0.4981122953534891,0.6721463550859449,0.32407823562103333,180,,,,
04:00:00.000+02:00,04:15:00.000+02:00,3,16.921875,80.51690916061858,,,,,,,0.3500079005290383,0.3715045429935222,0.3138229801103911,146,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.921875,,,,,,,,,,,,,,,
